,Emiten,Sektor,Peningkatan,PB,ROA,ROE,EPS,PER,DER,DAR,Cash Flow,Percentage Increase (%)
0,AKPI,Basic Materials,2018,-12.791991101223573,329.96358963375457,342.40806426055264,5145.0,-98.15916636533973,3.705920494787776,0.7887817703768434,-446.82357842116227,-3.448275862068968
1,AKPI,Basic Materials,2019,-47.565714285714286,-6.248152163200942,-16.733748443337475,-16.110581506196382,-36.991883116883116,-18.178260869565207,-7.874569909289946,-178.8841511020359,-47.142857142857146
2,AKPI,Basic Materials,2020,43.12977099236639,27.89010413182598,15.887018407113445,22.499999999999986,22.448979591836732,-17.053335329042554,-8.462071697365815,-55.607156452226874,46.05263157894737
3,AKPI,Basic Materials,2021,81.4426671569529,76.98828335452697,100.91182414627369,123.9332096474954,-9.078423908581328,26.15614378411783,11.134122731979645,-854.3817527010805,105.45454545454547
4,ALDO,Basic Materials,2019,-2.1188689145918147,125.43160276891064,97.17425039765828,110.67193675889325,-50.367748909679065,-25.67393336846463,-15.022147696954775,-8.442579968536961,4.561224629016024
5,ALDO,Basic Materials,2020,29.46213068296555,-12.889312173249806,-18.635801219633393,-16.69793621013133,59.87307400858802,-15.924796053551248,-9.98683751904997,41.46620847651775,42.5
6,ALDO,Basic Materials,2021,42.1842029322882,18.239850860445657,-1.2546762332455188,54.95495495495496,13.219094247246034,-8.114070495548603,10.026259333990211,-154.52091767881242,78.57142857142858
7,ALKA,Basic Materials,2018,-23.60518595279892,-30.004123864880412,14.430781257958131,49.17491749174917,-34.2790213430505,85.91970977801975,13.724758615109195,-1767.9245283018868,-1.9607843137254832
8,ALKA,Basic Materials,2019,33.93498107325763,-66.38410506044434,-69.74287917010668,-68.80530973451327,346.65721040189135,-11.914029927829404,-2.135806898406429,223.43042986425343,39.33333333333334
9,ALKA,Basic Materials,2020,-37.56485709607583,45.27978989150549,-1.0617054782953659,0.7092198581560183,-37.7619785699845,-38.32636951950701,-9.439190140004058,-146.9505530538189,-36.09756097560975
10,ALKA,Basic Materials,2021,-20.205837839887835,118.09263733289885,110.28335815852785,160.56338028169017,-62.50051578295853,-4.43824862997235,-0.8893781849903206,-161.2161281311109,4.065040650406502
11,ALMI,Basic Materials,2018,109.36639118457316,-33.620838509970724,-10.381439793984455,-22.62773722627736,134.99142367066895,41.459645657436766,4.777097978717833,24.246775625293708,81.81818181818181
12,ALMI,Basic Materials,2019,2853.5,-7521.259125700448,-682731.868515493,-4675.471698113208,-101.9560824742268,10262.05626749153,12.6515010255454,-43.470129651810296,-10.5
13,ALMI,Basic Materials,2020,-102.56569418580592,12.155776599289851,-100.75196043481522,-7.9381443298969145,-24.75304509937628,-100.80258189757241,19.706026858827386,-170.51148613485987,-30.72625698324022
14,ALMI,Basic Materials,2021,-188.91189425859477,-100.20556467697864,-99.90063252860502,-100.11198208286675,-108124.19354838709,-124.66150311007002,-48.981957078512764,21.308450629975212,19.04761904761905
15,ANTM,Basic Materials,2018,22.6653658536585,1019.668615727194,1103.9818002751122,1114.2857142857144,-89.92,19.61640883769948,11.239836740855765,-94.36153817238657,22.400000000000006
16,ANTM,Basic Materials,2019,11.741994094935308,-87.3929139837937,-87.97124931053503,-88.23529411764706,833.3333333333334,-10.74281702853132,-6.451383661055715,-1908.377777777778,9.803921568627445
17,ANTM,Basic Materials,2020,119.34742647058823,464.4494782477997,464.8887101913243,497.5,-61.44650328750746,0.19479806848113412,0.11689111956761167,110.13308428671493,130.35714285714286
18,ANTM,Basic Materials,2021,6.23577199482213,55.89254582915103,47.76933989818909,61.92468619246864,-28.189411694008797,-13.028984389298031,-8.247996192982114,169.5906432748538,2.7397260273972535
19,APLI,Basic Materials,2018,29.808021940349676,1329.2965967217724,1906.560232931303,1811.111111111111,-93.8953488372093,93.91880330906736,38.13065815876655,-1208.071748878924,16.66666666666667
20,APLI,Basic Materials,2019,104.5309611105888,-149.234798604954,-139.36755701377916,-140.69767441860466,-623.6054421768708,-33.71554446168035,-17.101744009009124,-96.80291380008094,113.0952380952381
21,APLI,Basic Materials,2020,14.239206166378409,-168.73373509777406,-168.81137215246986,-157.14285714285714,-293.5754189944134,0.23541777628108207,0.12232625711901335,-2488.607594936709,13.142857142857139
22,APLI,Basic Materials,2021,-7.235931141917391,-441.5295643545274,-423.12340936005046,-525.0,-124.48009506833037,-10.92748675293673,-5.853628168007631,-12.55961844197138,3.517587939698487
23,BAJA,Basic Materials,2018,58.76780580240458,341.9392562784571,845.9766828310898,322.8346456692914,-83.29725325884544,139.38489498564408,11.835296127634294,-223.23376007586535,-29.375
24,BAJA,Basic Materials,2019,-43.40959053947828,-101.23608987737325,-101.18393018958422,-101.11731843575419,-5010.619469026549,-4.6112805811147695,-0.4087981482343679,-278.3378222393228,-45.13274336283186
25,BAJA,Basic Materials,2020,8.578767814606977,5364.9348347598025,2781.8066502046477,5000.000000000001,-96.3314358001265,-51.865266295822785,-8.719350424441416,295.9007551240561,87.09677419354838
26,BAJA,Basic Materials,2021,71.94087933611675,68.19078372157256,-4.088226584313389,60.4575163398693,79.44378116440762,-51.65911035872147,-15.229467405146295,-42.71934604904632,180.67226890756302
27,BMSR,Basic Materials,2018,17.74841989291997,-251.52272588711162,-273.9080275877788,-280.7692307692308,-167.17325227963525,20.629644320170996,5.102293342722703,28.993869455463397,21.42857142857143
28,BMSR,Basic Materials,2019,-39.56405094638637,-10.280145307433827,-8.67124301090901,-6.38297872340425,-34.02406417112299,2.3852465574397,0.5815664927236099,-333.51970925356443,-38.23529411764706
29,BMSR,Basic Materials,2020,-9.369328833895779,-121.72125173820018,-130.99643778682417,-122.72727272727272,-435.23809523809524,54.583359186392954,8.326772338063918,-18.843529270920627,-24.52830188679245
30,BMSR,Basic Materials,2021,35.626243193008776,-10231.91628480857,-5679.096042262418,-15569.999999999998,-102.11700064641241,-53.93407499970155,-16.341985843279247,76.45670452869155,227.5
31,ADMG,Basic Materials,2018,18.21019410426628,-32.75074097503074,-50.32754329236741,-83.87096774193549,691.3821138211381,-73.06654212009403,-63.53602770113078,-106.20184899845917,27.642276422764226
32,ADMG,Basic Materials,2019,-27.86810187811784,6310.415197360938,6722.0882004598125,2291.1111111111113,-97.52267184429238,50.6150755719045,41.52633930073304,-603.9596273291925,-40.76433121019108
33,ADMG,Basic Materials,2020,54.16935459866471,64.59217103531626,65.24705754346255,34.29368029739777,-6.319901774751656,0.5899058217240452,0.19126046514317352,-162.19380680942845,25.1336898395722
34,ADMG,Basic Materials,2021,-16.75857043657865,-101.91583214261622,-101.85155086107119,-101.86851211072664,-4719.97467553023,-17.48513583847331,-14.620423166335783,-109.71018082734705,-7.339449541284409
35,AGII,Basic Materials,2018,19.53299226026499,12.166357227648987,15.416322978632152,20.370370370370367,-6.624284806102992,13.639980900843554,10.440034512510792,-88.82014477510363,12.396694214876035
36,AGII,Basic Materials,2019,-2.4398395721925112,-4.092831271212887,-3.443835392597066,1.2307692307692406,0.9632576434829332,1.3650793650793531,0.6837606837606813,461.4277808522413,2.205882352941174
37,AGII,Basic Materials,2020,25.60774193512603,-5.857257634651745,-7.096836362955017,-4.255319148936167,35.25179856115108,-2.1795989537925067,-0.874411018484949,-166.1212419911286,38.46153846153845
38,AGII,Basic Materials,2021,58.92923649906891,84.79105779849539,100.35154076812097,109.52380952380955,-19.65909090909092,15.849842002916859,6.8522596204256985,-652.8175313059033,53.03030303030303
39,BRMS,Basic Materials,2018,7.838497897859909,-44.20171973042064,-52.92668269230769,-65.89403973509934,122.12415416298907,-39.80988675958187,-28.65374696043031,-38.02710701426982,-24.24242424242425
40,BRMS,Basic Materials,2019,29.956448911222765,-101.42060421390778,-101.44658406727372,-100.97087378640776,-10812.0,26.508700011422334,24.236673414304974,-50.73001581700937,4.0
41,BRMS,Basic Materials,2020,39.92917487270168,230.95662301561396,188.92693896070614,249.99999999999994,-57.14593405251974,-51.0925036452526,-43.9780177925293,-113.1929867884924,52.93019612630209
42,BRMS,Basic Materials,2021,-0.31465519665856334,916.2202308876225,1062.0739876219707,1400.0000000000002,-90.08475822506152,-31.91427926911797,-40.45982650134403,-15355.030416471689,41.890529007794385
43,BRNA,Basic Materials,2018,-26.55529953917052,-84.46057290126923,-85.03395651940792,101.76470588235293,-52.03611398476441,-7.365068842427334,-3.8160111330843165,-11.153540175019899,-3.225806451612897
44,BRNA,Basic Materials,2019,1.1929824561403422,417.67464258366033,464.7672129954408,376.09329446064146,-81.97132067768932,16.092923832808808,6.412627129837546,-216.95916905444125,-14.166666666666671
45,BRNA,Basic Materials,2020,43.739755390240845,18.73037414411114,26.737860170372983,3.4905082669932597,12.575400700867462,12.175159904038722,5.087766884953695,4.164752717807389,16.504854368932044
46,BRNA,Basic Materials,2021,-10.166666666666671,10.68084335165831,3.8738474649242534,13.491124260355036,-12.621654501216554,-10.761300853842286,-4.913366336633672,-138.4095252094664,6.25
47,BRPT,Basic Materials,2018,12.46915406391065,-45.53564102100507,-39.12891201561055,-56.22895622895623,141.6031313818924,12.725310949112,0.8608849430415262,-45.45454545454546,5.7522123893805315
48,BRPT,Basic Materials,2019,261.0904790411921,-49.69572959996689,-48.7407490079365,-46.15384615384615,486.6706515242081,1.8843825979606947,-0.013764685289984868,-100.82238095238095,215.89958158995813
49,BRPT,Basic Materials,2020,-30.04956236422916,-8.8769111762998,-13.876700695252396,-5.714285714285722,-22.737306843267106,-5.619817530993174,-0.14068411512599255,-25519.803126809493,-24.914675767918084
50,BRPT,Basic Materials,2021,-46.459115663408035,107.65856759352016,90.15907688008556,153.03030303030303,-69.28143712574851,-19.90784812994096,-12.537325034938078,-27.10706150341686,-22.97297297297297
51,CITA,Basic Materials,2018,58.94835680751177,1036.674671099891,746.1924541387026,19510.0,-98.67845522907973,-38.64067045454546,-17.577147623019187,-691.1287347842125,159.15492957746477
52,CITA,Basic Materials,2019,-29.023361453601552,-15.73206978709213,-25.766988310323512,-0.5099439061703208,-4.4038174403315935,-22.00016864828399,-11.456046368666023,28.61065177373561,-4.891304347826093
53,CITA,Basic Materials,2020,14.095918892772616,-7.8759626455237,-42.43440981891274,-14.146591491542793,98.34473347547973,-78.39214571092832,-65.42026635330983,-17.731253487300165,75.29411764705881
54,CITA,Basic Materials,2021,3.6525700192211445,-16.00263368947782,-17.79549300673237,-14.328358208955223,26.12538877066622,-12.966898695050318,-11.068728968213847,9.442085397499397,7.333333333333329
