,Emiten,Sektor,Peningkatan,PB,ROA,ROE,EPS,PER,DER,DAR,Cash Flow,Percentage Increase (%)
0,AISA,Consumer Non-Cyclicals,2018,-134.7826086956522,7.153270719134113,-121.91078514013513,-77.65460910151693,57.94808785132855,-197.05023428135556,374.61786333966796,-134.44686818323464,-64.70588235294117
1,AISA,Consumer Non-Cyclicals,2021,-6.739902907638211,-99.17319684447784,-99.27281649032535,-99.6302382908792,13214.188034188035,-20.16282075729609,-9.225620702826603,-32.59613088129926,-48.663101604278076
2,ALTO,Consumer Non-Cyclicals,2018,11.776130432282656,-47.34059596283243,-42.967340661800534,-46.42857142857143,92.43986254295532,13.424200979409378,4.726851180988277,-47.80150753768844,3.0927835051546424
3,ALTO,Consumer Non-Cyclicals,2019,2.137298558100099,-77.4052050778549,-77.23189242837601,-78.0,352.27272727272725,1.683110853163086,0.9090909090909065,-249.45848375451263,-0.5
4,ALTO,Consumer Non-Cyclicals,2020,-22.557643793088147,41.10849980415196,45.39462819838633,42.424242424242436,-45.66449267614669,3.5601973558798647,0.5073177006982803,1.4492753623188435,-22.613065326633162
5,ALTO,Consumer Non-Cyclicals,2021,-6.0043431323907726,-13.518103508649077,-12.96391189867741,-14.893617021276597,6.818181818181841,1.4220020980819896,0.7762099461661904,-40.63492063492063,-9.090909090909093
6,AMRT,Consumer Non-Cyclicals,2018,33.67327487609609,113.87444789914619,88.80077115738621,116.66666666666666,-29.25598991172761,-15.41729442753335,-4.184292546944789,350.4761904761905,53.278688524590166
7,AMRT,Consumer Non-Cyclicals,2019,-17.64705882352939,57.779849334532,49.32719428054301,71.15384615384613,-45.00991407799074,-7.338293054849572,-2.093183821432291,-19.027484143763218,-5.882352941176464
8,AMRT,Consumer Non-Cyclicals,2020,-18.134221799143262,-11.785254642397504,-13.77091377091378,-4.49438202247191,-4.812834224598944,-3.2650630689954454,-1.03747816738597,-27.67624020887729,-8.57142857142857
9,AMRT,Consumer Non-Cyclicals,2021,29.068409343715217,73.79046926154967,55.29010238907853,83.92156862745097,-17.424040511727085,-14.803001724793901,-4.653122883349724,1.0830324909747162,51.875
