Kode,Nama Perusahaan,Tipe
AKPI.JK,Argha Karya Prima Industry Tbk,Basic Materials
ALDO.JK,Alkindo Naratama Tbk.,Basic Materials
ALKA.JK,Alakasa Industrindo Tbk,Basic Materials
ALMI.JK,Alumindo Light Metal Industry ,Basic Materials
ANTM.JK,Aneka Tambang Tbk.,Basic Materials
APLI.JK,Asiaplast Industries Tbk.,Basic Materials
BAJA.JK,Saranacentral Bajatama Tbk.,Basic Materials
BMSR.JK,Bintang Mitra Semestaraya Tbk,Basic Materials
ADMG.JK,Polychem Indonesia Tbk,Basic Materials
AGII.JK,Aneka Gas Industri Tbk.,Basic Materials
BRMS.JK,Bumi Resources Minerals Tbk.,Basic Materials
BRNA.JK,Berlina Tbk.,Basic Materials
BRPT.JK,Barito Pacific Tbk.,Basic Materials
CITA.JK,Cita Mineral Investindo Tbk.,Basic Materials
CLPI.JK,Colorpak Indonesia Tbk.,Basic Materials
CTBN.JK,Citra Tubindo Tbk.,Basic Materials
DKFT.JK,Central Omega Resources Tbk.,Basic Materials
DPNS.JK,Duta Pertiwi Nusantara Tbk.,Basic Materials
EKAD.JK,Ekadharma International Tbk.,Basic Materials
ESSA.JK,Surya Esa Perkasa Tbk.,Basic Materials
FASW.JK,Fajar Surya Wisesa Tbk.,Basic Materials
FPNI.JK,Lotte Chemical Titan Tbk.,Basic Materials
GDST.JK,Gunawan Dianjaya Steel Tbk.,Basic Materials
IGAR.JK,Champion Pacific Indonesia Tbk,Basic Materials
INKP.JK,Indah Kiat Pulp & Paper Tbk.,Basic Materials
INRU.JK,Toba Pulp Lestari Tbk.,Basic Materials
INTD.JK,Inter Delta Tbk,Basic Materials
INTP.JK,Indocement Tunggal Prakarsa Tb,Basic Materials
IPOL.JK,Indopoly Swakarsa Industry Tbk,Basic Materials
ISSP.JK,Steel Pipe Industry of Indones,Basic Materials
JKSW.JK,Jakarta Kyoei Steel Works Tbk.,Basic Materials
KDSI.JK,Kedawung Setia Industrial Tbk.,Basic Materials
KRAS.JK,Krakatau Steel (Persero) Tbk.,Basic Materials
LMSH.JK,Lionmesh Prima Tbk.,Basic Materials
LTLS.JK,Lautan Luas Tbk.,Basic Materials
MDKA.JK,Merdeka Copper Gold Tbk.,Basic Materials
NIKL.JK,Pelat Timah Nusantara Tbk.,Basic Materials
OKAS.JK,Ancora Indonesia Resources Tbk,Basic Materials
PICO.JK,Pelangi Indah Canindo Tbk,Basic Materials
PSAB.JK,J Resources Asia Pasifik Tbk.,Basic Materials
SIMA.JK,Siwani Makmur Tbk,Basic Materials
SMBR.JK,Semen Baturaja (Persero) Tbk.,Basic Materials
SMCB.JK,Solusi Bangun Indonesia Tbk.,Basic Materials
SMGR.JK,Semen Indonesia (Persero) Tbk.,Basic Materials
SPMA.JK,Suparma Tbk.,Basic Materials
SQMI.JK,Wilton Makmur Indonesia Tbk.,Basic Materials
SRSN.JK,Indo Acidatama Tbk,Basic Materials
SULI.JK,SLJ Global Tbk.,Basic Materials
TALF.JK,Tunas Alfin Tbk.,Basic Materials
TBMS.JK,Tembaga Mulia Semanan Tbk.,Basic Materials
TKIM.JK,Pabrik Kertas Tjiwi Kimia Tbk.,Basic Materials
TPIA.JK,Chandra Asri Petrochemical Tbk,Basic Materials
TRST.JK,Trias Sentosa Tbk.,Basic Materials
UNIC.JK,Unggul Indah Cahaya Tbk.,Basic Materials
INCF.JK,Indo Komoditi Korpora Tbk.,Basic Materials
WSBP.JK,Waskita Beton Precast Tbk.,Basic Materials
KMTR.JK,Kirana Megatara Tbk.,Basic Materials
MDKI.JK,Emdeki Utama Tbk.,Basic Materials
ZINC.JK,Kapuas Prima Coal Tbk.,Basic Materials
PBID.JK,Panca Budi Idaman Tbk.,Basic Materials
TDPM.JK,Tridomain Performance Material,Basic Materials
SWAT.JK,Sriwahana Adityakarta Tbk.,Basic Materials
MOLI.JK,Madusari Murni Indah Tbk.,Basic Materials
HKMU.JK,HK Metals Utama Tbk.,Basic Materials
KAYU.JK,Darmi Bersaudara Tbk.,Basic Materials
SMKL.JK,Satyamitra Kemas Lestari Tbk.,Basic Materials
GGRP.JK,Gunung Raja Paksi Tbk.,Basic Materials
OPMS.JK,Optima Prima Metal Sinergi Tbk,Basic Materials
PURE.JK,Trinitan Metals and Minerals T,Basic Materials
ESIP.JK,Sinergi Inti Plastindo Tbk.,Basic Materials
IFSH.JK,Ifishdeco Tbk.,Basic Materials
IFII.JK,Indonesia Fibreboard Industry ,Basic Materials
AYLS.JK,Agro Yasa Lestari Tbk.,Basic Materials
SAMF.JK,Saraswanti Anugerah Makmur Tbk,Basic Materials
EPAC.JK,Megalestari Epack Sentosaraya ,Basic Materials
PNGO.JK,Pinago Utama Tbk.,Basic Materials
BEBS.JK,Berkah Beton Sadaya Tbk.,Basic Materials
NPGF.JK,Nusa Palapa Gemilang Tbk.,Basic Materials
ARCI.JK,Archi Indonesia Tbk.,Basic Materials
NICL.JK,PAM Mineral Tbk.,Basic Materials
TINS.JK,Timah Tbk.,Basic Materials
TIRT.JK,Tirta Mahakam Resources Tbk,Basic Materials
PDPP.JK,Primadaya Plastisindo Tbk.,Basic Materials
BTON.JK,Betonjaya Manunggal Tbk.,Basic Materials
SBMA.JK,Surya Biru Murni Acetylene Tbk,Basic Materials
CMNT.JK,Cemindo Gemilang Tbk.,Basic Materials
WTON.JK,Wijaya Karya Beton Tbk.,Basic Materials
YPAS.JK,Yanaprima Hastapersada Tbk,Basic Materials
INAI.JK,Indal Aluminium Industry Tbk.,Basic Materials
INCI.JK,Intanwijaya Internasional Tbk,Basic Materials
INCO.JK,Vale Indonesia Tbk.,Basic Materials
OBMD.JK,OBM Drilchem Tbk.,Basic Materials
AVIA.JK,Avia Avian Tbk.,Basic Materials
KBRI.JK,Kertas Basuki Rachmat Indonesi,Basic Materials
CHEM.JK,Chemstar Indonesia Tbk.,Basic Materials
KKES.JK,Kusuma Kemindo Sentosa Tbk.,Basic Materials
AKKU.JK,Anugerah Kagum Karya Utama Tbk,Consumer Cyclicals
ARGO.JK,Argo Pantes Tbk,Consumer Cyclicals
ARTA.JK,Arthavest Tbk,Consumer Cyclicals
BATA.JK,Sepatu Bata Tbk.,Consumer Cyclicals
BAYU.JK,Bayu Buana Tbk,Consumer Cyclicals
BIMA.JK,Primarindo Asia Infrastructure,Consumer Cyclicals
BLTZ.JK,Graha Layar Prima Tbk.,Consumer Cyclicals
BOLT.JK,Garuda Metalindo Tbk.,Consumer Cyclicals
BRAM.JK,Indo Kordsa Tbk.,Consumer Cyclicals
ABBA.JK,Mahaka Media Tbk.,Consumer Cyclicals
ACES.JK,Ace Hardware Indonesia Tbk.,Consumer Cyclicals
BUVA.JK,Bukit Uluwatu Villa Tbk.,Consumer Cyclicals
CINT.JK,Chitose Internasional Tbk.,Consumer Cyclicals
CNTX.JK,Century Textile Industry Tbk.,Consumer Cyclicals
CSAP.JK,Catur Sentosa Adiprana Tbk.,Consumer Cyclicals
ECII.JK,Electronic City Indonesia Tbk.,Consumer Cyclicals
ERAA.JK,Erajaya Swasembada Tbk.,Consumer Cyclicals
ERTX.JK,Eratex Djaja Tbk.,Consumer Cyclicals
ESTI.JK,Ever Shine Tex Tbk.,Consumer Cyclicals
FAST.JK,Fast Food Indonesia Tbk.,Consumer Cyclicals
FORU.JK,Fortune Indonesia Tbk,Consumer Cyclicals
GDYR.JK,Goodyear Indonesia Tbk.,Consumer Cyclicals
GEMA.JK,Gema Grahasarana Tbk.,Consumer Cyclicals
GJTL.JK,Gajah Tunggal Tbk.,Consumer Cyclicals
GLOB.JK,Globe Kita Terang Tbk.,Consumer Cyclicals
HDTX.JK,Panasia Indo Resources Tbk.,Consumer Cyclicals
HOME.JK,Hotel Mandarine Regency Tbk.,Consumer Cyclicals
HOTL.JK,Saraswati Griya Lestari Tbk.,Consumer Cyclicals
IIKP.JK,Inti Agri Resources Tbk,Consumer Cyclicals
IKAI.JK,Intikeramik Alamasri Industri ,Consumer Cyclicals
IMAS.JK,Indomobil Sukses Internasional,Consumer Cyclicals
INDS.JK,Indospring Tbk.,Consumer Cyclicals
JIHD.JK,Jakarta International Hotels &,Consumer Cyclicals
